text,label
CB IEC 42V2A 84W የኃይል አቅርቦት አስማሚ Contact አሁን,0
በቀኝ በላይኛው ክንድ ላይ 6. መልአክ ንቅሳት ሰዎች ውስጥ ለመተቸት እይታ ያመጣል,0
በረቂቅ አዋጁ የተወሰኑ ድንጋጌዎች ውስጥ ምክር ቤቱ መጠነኛ ውይይት ካደረገ በኋላ ለዝርዝር ዕይታ፣ ለአካባቢና ተፈጥሮ ሀብት ቋሚ ኮሚቴ በሙሉ ድምፅ መርቶታል፡፡,1
የመፍትሄ አፈላላጊ ኮሚቴ አባላት የክስ ሂደትን ታክኮ በአቃቤ ሕግና በዳኞች መካከል አለመስማማት መፈጠሩ ተነገረ፡፡ አለመስማማቱ የተፈጠረው አቃቤ ሕግ ለተደጋጋሚ ጊዜ በችሎት ውስጥ ከዳኞች ጭምር የበላይ መሆኑን ለማሳየት ጥረት በማድረጉ ነው ተብሏል፡፡ በዚሁ እያገባደድነው ባለው ሳምንት ተሰይሞ ምንም ሳያከናውን ተበትኖ በነበረው ችሎት ላይ አቃቤ ሕግ ቀድሞ ለፍርድ ቤት ሪጂስትራ ገቢ ማድረግ የነበረበትን ሲዲ እዚያው ለችሎቱ ገቢ ለማድረግ መሞከሩና ሲዲውን ገቢ ማድረግ የነበረበት ክሱ በተመሰረተበት ወቅት ማለትም (ከስድስት ወራት በፊት) ሆኖ ሳለ እስከአሁን ሳያስገባ መቆየቱ በዳኞቹና አቃቤ ሕጎቹ መካከል ፍጥጫ ጭምር እንዲፈጠር ምክንያት ሆኗል፡፡,1
እናትና አባትህን አክብር የሚለው ቃል በሰፊው የሚነገር ምክር ነው፡፡ ለእናት ያለ ልዩ ፍቅር፣ አባትን የመምሰል አኩሪነት፣ ጧሪ ቀባሪነት፣ አደራ ጠባቂነት ተፈላጊና የሚያስመሰግን ነገር ሆኖ እናገኘዋለን - በሀበሻ፡፡,1
ከዚህ ቀደም ለፈረሱት ሁለት ድርድሮች ውኛ ምክንያት ኦብነግ የኢትዮጵያን ህገ መንግስት ባለመቀበሉ እንደሆነ የሚያስታውሱ ዛሬ ኦብነግ ካነሳቸውና ይፋ ካደረጋቸው አበይት ጉዳዮች አንጻር ድርድሩ ፈርተውታል። ኦጋዴንን ለመገንጠል የሚታገለው ኦብነግ በድርድሩ በግልጽ የመቶ አመት ወረራ ጉዳይ የድርድሩ ቅድሚያ ጉዳይ መሆኑንን፣ ራስን በራስ የማስተዳደር ጥያቄው የማይታጠፍ እንደሆነ በይፋ መናገሩ ብቻ ሳይሆን ” ዛሬ አገሪቱ ባለችበት የፖለቲካ አጣብቂኝ ሕዝብን ዝም ማሰኘት አይቻልም” ሲሉ ቃል አቀባዩ በድፍረት መናገራቸው የጉዳዩን አሳሳቢነት ያመላክታል።,1
ሳንቲም አላውቅም ነበር ንግድ ምን እንደሆነ አላውቅም። የአካባቢዬ ልጆችና ወንድሞቼ እንዳጋጣሚ ወደ ቢዝነስ ገብተው ውጤታማ የሆኑበት ጊዜ ነበር። እነሱን ተከትዬ ነው የገባሁት እንጂ ቢዝነስ ምን እንደሆነ እንኳን አላውቅም ነበር። የት ነው የተወለድሽው፣ ያደግሽው? ጎጃም ቆላ/ደጋ ዳሞት የሚባል አውራጃ ደጋዳሞት ውስጥ አሁን ምዕራብ ጎጃም ፈረስ ቤት ነው የተወለድኩት። ትምህርቴንም ያጠናቀቁት እዛው ፈረስ ቤት ነው። ከዛም መምህራን ማሰልጠኛ ባሌ ገባሁ። ሁለት ዓመት ሰርቻለሁ። አዲስ አበባ አምስት ዓመት ሰርቻለሁ። ከባሌ ወደ አዲስ አበባ ስቀየር ያኔ አዲስ አበባ ክልል አልነበረም። በጊዜው ዝውውር የለም። አዲስ አበባ እየሰራሁ ደሞወዛችንን ክልል ይከፍለን ነበር። ባሌ ክ/ሀገር ማለት ነው።,1
1.ብፍላይ እቲ ኣብ ህ.ግ.ሓ.ኤ ዝተጋደለን ጽልዋታት ህዝባዊ ግንብር ዝነበሮ ዜጋ፣ብሓፈሻ ድማ ሓርበኛዉን ሃገራዉን ሓይልታት ኤርትራ ነዛ ቅዋም’ዚኣ ከም ዉጽኢት ናይ ቃልሱን ቀንዲ ህዝባዊ ሰነድ ገይሩ ይርእያ።,1
ሣጥን IP67,0
መነሻ ገጽ - እስራኤል ኢራን ይወዳል,0
